NOMMER,VAAR,MOER,GR,YR,SEX,BDAT,WDAT
873932,853450,834990,2,87,2,1987/03/01,1987/06/09
873942,850190,833940,2,87,2,1987/03/01,1987/06/09
873952,850190,833940,2,87,2,1987/03/01,1987/06/09
874082,851190,815080,2,87,1,1987/03/01,1987/06/09
874093,854910,844070,3,87,1,1987/03/01,1987/06/09
874103,852340,841320,3,87,2,1987/03/01,1987/06/09
874182,853450,812430,2,87,1,1987/03/01,1987/06/09
874222,853460,843410,2,87,1,1987/03/01,1987/06/09
874253,854910,812120,3,87,2,1987/03/01,1987/06/09
874263,854910,813770,3,87,2,1987/03/01,1987/06/09
874362,851190,850990,2,87,1,1987/03/01,1987/06/09
874372,851190,850990,2,87,2,1987/03/01,1987/06/09
874422,853450,813470,2,87,1,1987/03/01,1987/06/09
874432,853450,813470,2,87,2,1987/03/01,1987/06/09
874443,854910,832030,3,87,2,1987/03/01,1987/06/09
874452,853450,844060,2,87,1,1987/03/01,1987/06/09
874463,854910,841340,3,87,2,1987/03/01,1987/06/09
874503,850210,814510,3,87,2,1987/03/01,1987/06/09
874513,850980,821660,3,87,1,1987/03/01,1987/06/09
874523,850980,821660,3,87,2,1987/03/01,1987/06/09
874533,850210,812850,3,87,1,1987/03/01,1987/06/09
874543,850210,812850,3,87,2,1987/03/01,1987/06/09
874552,853450,852690,2,87,2,1987/03/01,1987/06/09
874563,852340,840040,3,87,1,1987/03/01,1987/06/09
874603,850210,812380,3,87,2,1987/03/01,1987/06/09
874613,850210,812740,3,87,1,1987/03/01,1987/06/09
874623,850210,812740,3,87,2,1987/03/01,1987/06/09
874653,854910,830810,3,87,2,1987/03/01,1987/06/09
874733,854910,844660,3,87,2,1987/03/01,1987/06/09
874802,850190,830800,2,87,1,1987/03/01,1987/06/09
874843,854910,840050,3,87,2,1987/03/01,1987/06/09
874852,853460,850260,2,87,2,1987/03/01,1987/06/09
874873,854910,840050,3,87,2,1987/03/01,1987/06/09
874883,852340,832620,3,87,1,1987/03/01,1987/06/09
874943,850980,834290,3,87,1,1987/03/01,1987/06/09
874972,850190,820680,2,87,2,1987/03/01,1987/06/09
874992,853460,823110,2,87,1,1987/03/01,1987/06/09
875002,853460,823110,2,87,2,1987/03/01,1987/06/09
875032,850190,820810,2,87,2,1987/03/01,1987/06/09
875042,853450,810030,2,87,1,1987/03/01,1987/06/09
875052,851190,851990,2,87,2,1987/03/01,1987/06/09
875062,851190,851990,2,87,2,1987/03/01,1987/06/09
875082,853460,830900,2,87,2,1987/03/01,1987/06/09
875122,853450,844530,2,87,1,1987/03/01,1987/06/09
875143,850980,834840,3,87,1,1987/03/01,1987/06/09
875173,850210,822950,3,87,1,1987/03/01,1987/06/09
875213,854910,824250,3,87,1,1987/03/01,1987/06/09
875253,852340,842140,3,87,1,1987/03/01,1987/06/09
875292,850190,821750,2,87,2,1987/03/01,1987/06/09
875322,850190,854560,2,87,1,1987/03/01,1987/06/09
875363,852340,852460,3,87,2,1987/03/01,1987/06/09
875403,852340,822150,3,87,2,1987/03/01,1987/06/09
875493,850980,812530,3,87,2,1987/03/01,1987/06/09
